Link,Title,Views,UploadTime
https://www.youtube.com//watch?v=YBNqA_waC0c,"UFC Connected: Amanda Nunes, Cory Sandhagen and Jared Gordon",20K,7 days ago
https://www.youtube.com//watch?v=iXQAlG32_D8,"Mike Davis, Mike Glazer, Recapping UFC Fight Night w/ Guest Co-Host Ray Longo | UFC Unfiltered",12K,8 days ago
https://www.youtube.com//watch?v=Wtc7QaIo61w,"""Thug Rose! Thug Rose!' 🌹 | Looking Back At Thug Rose's Chase For Gold | UFC Vegas 89",48K,8 days ago
https://www.youtube.com//watch?v=jpDWBfldvKQ,Rose Namajunas vs Jessica Andrade 2 | FULL FIGHT | UFC Vegas 89,163K,9 days ago
https://www.youtube.com//watch?v=Oiv-h7Jr460,Amanda Ribas vs Luana Pinheiro | FULL FIGHT | UFC Vegas 89,135K,9 days ago
https://www.youtube.com//watch?v=ksv8JkuPNpQ,Amanda Ribas vs Paige VanZant | FULL FIGHT | UFC Vegas 89,155K,10 days ago
https://www.youtube.com//watch?v=m32tLAK1UGw,Rose Namajunas vs Michelle Waterson | FULL FIGHT | UFC Vegas 89,480K,10 days ago
https://www.youtube.com//watch?v=jjybzSM8TNM,UFC Vegas 89: Ribas vs Namajunas - March 23 | Fight Promo,39K,10 days ago
https://www.youtube.com//watch?v=DIJSpDOtr8Q,Marcin Tybura Post-Fight Interview | UFC Vegas 88,71K,11 days ago
https://www.youtube.com//watch?v=HCo2GLjnZD4,Bryan Battle Post-Fight Interview | UFC Vegas 88,227K,11 days ago
https://www.youtube.com//watch?v=IN3LgXrnoYM,Ovince Saint Preux Post-Fight Interview | UFC Vegas 88,42K,11 days ago
https://www.youtube.com//watch?v=00UBFNrJ014,Christian Rodriguez Post-Fight Interview | UFC Vegas 88,12K,11 days ago
https://www.youtube.com//watch?v=rDVgdHW3E_Q,Macy Chiasson Post-Fight Interview | UFC Vegas 88,12K,11 days ago
https://www.youtube.com//watch?v=VHviRVs5GMs,Gerald Meerschaert Post-Fight Interview | UFC Vegas 88,18K,11 days ago
https://www.youtube.com//watch?v=yMn7_S9_n8M,Mike Davis Post-Fight Interview | UFC Vegas 88,12K,11 days ago
https://www.youtube.com//watch?v=8pBa9pAKrQ0,Jafel Filho Post-Fight Interview | UFC Vegas 88,14K,11 days ago
https://www.youtube.com//watch?v=QmjQxmomJIk,Danny Silva Post-Fight Interview | UFC Vegas 88,7.7K,11 days ago
https://www.youtube.com//watch?v=Vr104mvtsvA,Jaqueline Amorim Post-Fight Interview | UFC Vegas 88,16K,11 days ago
